id,team,opponent
528,Sacramento Kings,Miami Heat
529,Houston Rockets,Phoenix Suns
530,Phoenix Suns,Houston Rockets
531,Memphis Grizzlies,Philadelphia 76ers
532,Philadelphia 76ers,Memphis Grizzlies
533,San Antonio Spurs,Portland Trail Blazers
534,Portland Trail Blazers,San Antonio Spurs
535,Orlando Magic,New York Knicks
536,New York Knicks,Orlando Magic
537,New Orleans Pelicans,Chicago Bulls
538,Chicago Bulls,New Orleans Pelicans
539,Cleveland Cavaliers,Oklahoma City Thunder
540,Oklahoma City Thunder,Cleveland Cavaliers
541,Miami Heat,Los Angeles Clippers
542,Los Angeles Clippers,Miami Heat
543,Atlanta Hawks,Minnesota Timberwolves
544,Minnesota Timberwolves,Atlanta Hawks
545,Milwaukee Bucks,New Orleans Pelicans
546,New Orleans Pelicans,Milwaukee Bucks
547,San Antonio Spurs,Los Angeles Clippers
548,Los Angeles Clippers,San Antonio Spurs
549,Detroit Pistons,Memphis Grizzlies
550,Memphis Grizzlies,Detroit Pistons
551,Phoenix Suns,Brooklyn Nets
552,Brooklyn Nets,Phoenix Suns
553,Minnesota Timberwolves,Sacramento Kings
554,Sacramento Kings,Minnesota Timberwolves
555,Orlando Magic,Charlotte Hornets
556,Charlotte Hornets,Orlando Magic
557,Philadelphia 76ers,Miami Heat
558,Miami Heat,Philadelphia 76ers
559,Chicago Bulls,Toronto Raptors
560,Toronto Raptors,Chicago Bulls
561,New Orleans Pelicans,Houston Rockets
562,Houston Rockets,New Orleans Pelicans
563,Golden State Warriors,Cleveland Cavaliers
564,Cleveland Cavaliers,Golden State Warriors
565,Toronto Raptors,Detroit Pistons
566,Detroit Pistons,Toronto Raptors
567,Golden State Warriors,Boston Celtics
568,Boston Celtics,Golden State Warriors
569,Charlotte Hornets,Washington Wizards
570,Washington Wizards,Charlotte Hornets
571,Toronto Raptors,Cleveland Cavaliers
572,Cleveland Cavaliers,Toronto Raptors
573,Memphis Grizzlies,New York Knicks
574,New York Knicks,Memphis Grizzlies
575,Detroit Pistons,Brooklyn Nets
576,Brooklyn Nets,Detroit Pistons
577,Denver Nuggets,Memphis Grizzlies
578,Memphis Grizzlies,Denver Nuggets
579,Atlanta Hawks,Toronto Raptors
580,Toronto Raptors,Atlanta Hawks
581,Dallas Mavericks,Oklahoma City Thunder
582,Oklahoma City Thunder,Dallas Mavericks
583,San Antonio Spurs,Chicago Bulls
584,Chicago Bulls,San Antonio Spurs
585,Phoenix Suns,Memphis Grizzlies
586,Memphis Grizzlies,Phoenix Suns
587,Boston Celtics,New Orleans Pelicans
588,New Orleans Pelicans,Boston Celtics
589,Los Angeles Clippers,Orlando Magic
590,Orlando Magic,Los Angeles Clippers
591,Brooklyn Nets,New York Knicks
592,New York Knicks,Brooklyn Nets
593,Oklahoma City Thunder,Minnesota Timberwolves
594,Minnesota Timberwolves,Oklahoma City Thunder
595,Indiana Pacers,Golden State Warriors
596,Golden State Warriors,Indiana Pacers
597,Sacramento Kings,Chicago Bulls
598,Chicago Bulls,Sacramento Kings
599,Atlanta Hawks,Oklahoma City Thunder
600,Oklahoma City Thunder,Atlanta Hawks
601,Phoenix Suns,San Antonio Spurs
602,San Antonio Spurs,Phoenix Suns
603,Denver Nuggets,New Orleans Pelicans
604,New Orleans Pelicans,Denver Nuggets
605,Los Angeles Clippers,Atlanta Hawks
606,Atlanta Hawks,Los Angeles Clippers
607,Utah Jazz,Golden State Warriors
608,Golden State Warriors,Utah Jazz
609,Los Angeles Lakers,New York Knicks
610,New York Knicks,Los Angeles Lakers
611,Golden State Warriors,Portland Trail Blazers
612,Portland Trail Blazers,Golden State Warriors
613,Indiana Pacers,Utah Jazz
614,Utah Jazz,Indiana Pacers
615,Chicago Bulls,Milwaukee Bucks
616,Milwaukee Bucks,Chicago Bulls
617,Detroit Pistons,Washington Wizards
618,Washington Wizards,Detroit Pistons
619,Miami Heat,San Antonio Spurs
620,San Antonio Spurs,Miami Heat
621,Indiana Pacers,Denver Nuggets
622,Denver Nuggets,Indiana Pacers
623,Orlando Magic,Golden State Warriors
624,Golden State Warriors,Orlando Magic
625,Phoenix Suns,Boston Celtics
626,Boston Celtics,Phoenix Suns
627,Sacramento Kings,Utah Jazz
628,Utah Jazz,Sacramento Kings
629,Portland Trail Blazers,Oklahoma City Thunder
630,Oklahoma City Thunder,Portland Trail Blazers
631,Cleveland Cavaliers,Memphis Grizzlies
632,Memphis Grizzlies,Cleveland Cavaliers
633,Atlanta Hawks,San Antonio Spurs
634,San Antonio Spurs,Atlanta Hawks
635,Minnesota Timberwolves,Indiana Pacers
636,Indiana Pacers,Minnesota Timberwolves
637,Washington Wizards,Toronto Raptors
638,Toronto Raptors,Washington Wizards
639,Phoenix Suns,New York Knicks
640,New York Knicks,Phoenix Suns
641,Detroit Pistons,Boston Celtics
642,Boston Celtics,Detroit Pistons
643,Toronto Raptors,Oklahoma City Thunder
644,Oklahoma City Thunder,Toronto Raptors
645,Orlando Magic,Los Angeles Lakers
646,Los Angeles Lakers,Orlando Magic
647,Utah Jazz,Brooklyn Nets
648,Brooklyn Nets,Utah Jazz
649,Phoenix Suns,Atlanta Hawks
650,Atlanta Hawks,Phoenix Suns
651,Dallas Mavericks,Golden State Warriors
652,Golden State Warriors,Dallas Mavericks
653,Chicago Bulls,Boston Celtics
654,Boston Celtics,Chicago Bulls
655,Charlotte Hornets,Portland Trail Blazers
656,Portland Trail Blazers,Charlotte Hornets
